,company,code
0,JS전선,005560
1,거북선2호,101380
2,거북선6호,114140
3,교보메리츠,064900
4,국제관광공사,028780
5,굿리치경매1,085450
6,그린손해보험,000470
7,극동건설,000980
8,금성산업,028930
9,금호케미칼,014740
10,기라정보통신,019930
11,나라종금,016390
12,뉴맥스,014080
13,대덕GDS,004130
14,대한종금,009030
15,동국무역,004420
16,동부일렉트로닉스,001830
17,동북아12호선박투자,083370
18,동북아14호선박투자,083390
19,동북아9호,083120
20,동아콘크리트공업,029230
21,두산상사,000090
22,라이프주택,010530
23,마이다스성일,035590
24,미성건설,028400
25,보람은행,008890
26,보루네오가구,004740
27,삼보증권,029150
28,삼성신약,003400
29,삼양제넥스,003940
30,서울교통공사,000730
31,세원화성,007910
32,송원칼라,011450
33,스마텔,004190
34,신승기업,028980
35,신정제지,018690
36,신한은행,000010
37,신호전자,008190
38,신호페이퍼,012190
39,아시아7호,082260
40,아시아퍼시픽11호,083580
41,아시아퍼시픽12호,083590
42,아시아퍼시픽15호,083620
43,알바트로스,034180
44,알앤엘바이오,003190
45,에스지신성건설,001970
46,에이치비이에너지,017300
47,엘아이지건설(주),012720
48,연합과기,900030
49,영풍산업,002850
50,우성건설,008640
51,우진건설산업,029110
52,우진전기,012050
53,웅진에너지,103130
54,유리이에스,007050
55,이지닷컴,012260
56,장기은행,005020
57,제일종금,012500
58,제일화재해상보험,000610
59,조선맥주,034380
60,중앙제지,005600
61,중앙종금,008990
62,지비베트남1,094950
63,캠브리지코오롱,004620
64,케니상사,028560
65,코리아01호,090970
66,태림페이퍼,019300
67,트러스제7호,140890
68,티엘씨레저,014590
69,팬택앤큐리텔,063350
70,평안섬유공업,028360
71,플래티넘1호,034580
72,한국생사,028380
73,한국운수,028750
74,한국코아,010150
75,한길종금,014430
76,한솔아트원제지,007190
77,한솔종금,010220
78,한주전자,007000
79,한주화학,010970
80,한화기계,000930
81,한화화인케미칼,025850
82,현대DSF,016510
83,현대반도체,029890
84,현대하이스코,010520
85,화인자산관리,010460
86,흥양,010030
87,3R,037730
88,3노드디지탈,900010
89,IBKS제7호스팩,276920
90,KTB드림1,042300
91,KTB자산배분2,038380
92,SK1호스팩,207930
93,SK컴즈,066270
94,경북금고,008050
95,경윤하이드로,019120
96,골든브릿지제2호스팩,206660
97,교보성공파트너일호펀,034650
98,교보성공파트너크린앤,035980
99,국제종합토건,024860
